id,text,category
42,Sunshine littlephilly I can’t even imagine how your thought process works... Do you not have the capability to shape your own opinion. Especially on a topic that DOES in fact hurt homosexual people. Whether you believe they should be harmed or not has nothing to do with it. When you publicly state a person is wrong for just living their life,NHS
43,But Sadism isnt evil is it? Unless you're sadistic to unwilling participants. Alot whats considered evil now a days depends actually more or less on your perspectiv of what happens. If i were to hit a dog,NHS
44,And short short hair—,NHS
45,No. i`m black and I`m upset by what I`ve seen. It does nobody any good.,NHS
46,it doesn't matter what your family does when you want to make a career for yourself. what matters is what you can or will do. you're in no better position then the one who comes from a poor family and also wanting to be a video game developer.,HS
47,All lives matter.... every life fucking matters...,NHS
48,I thought I was watching a recent video but this is 4 years ago but here we are again and the same thing is going to happen,NHS
49,Where has this Sheriff been?,NHS
50,The media and crooked politicians whipped this up. We have to get rid of the lot of them with the ballot.,NHS
51,he was doing just fine before the police officer kept his knee on his neck for 8 minutes and 46 seconds,NHS
52,Bernie never lived in the hood I'd like to see him walk the streets,NHS
53,Black lives matter and not all lives?nWhat hypocrats...,NHS
54,the lesbian disagreeing with homosexuality tho. poor thing is prolly insecure abt it.,NHS
55,Police are already killing people,NHS
56,No liberals think that lmao,NHS
57,Grasielle Alison ha another mom joke,NHS
58,Can you guys stop harassing that girl for her haircut? Seriously. She doesn’t agree with homosexuality but she respects it. The least you could do is respect her back,NHS
59,jazzfan1 When I read your comment it sounds kind of dumb and racist. You act like only white people are slaying only black people daily.,NHS
60,I beg they just put it straight back up,NHS
61,Agreed! It is straight up abuse in all three formats,NHS
62,So did I. She’s clearly grooming herself and behaving in a more masculine manner. Lol when she said she didn’t agree I was like “...you don’t?”,NHS
63,@Molly Rebekah well its a hompohobic comment therefore it sucks,NHS
64,Chloe Faye I mean they are there to hear his story,NHS
65,Certainly herd mentality,NHS
66,Sasha Dumse God accepts everyone.,HS
67,I would have asked him if he’s watched “but I’m a cheerleader”,NHS
68,I feel so base for that guy! They treated him as if he wasn’t a human just because of who he loved! 🥺,HS
69,American Lives Matter,NHS
70,....🤔........staged set up for the coming race war... still hilarious though 🤣,NHS
71,The interviewer is HOT!!!,NHS
72,I am so glad that you made your toy!!! I wouldn't have extended my love for science!!! I feel like I don't fit in at school sometimes,HS
73,How can all lives matter if black lives aren’t?,NHS
74,You are so right and white is a color,NHS
75,I'm so proud for her,HS
76,We are ready meanings black people are ready for anything,NHS
77,What exactly do you want,NHS
78,She saves lives with her music.,HS
79,that would be uhhh pure mean yes,NHS
80,@AtlantisMystic Walker #12894 rly sorry for being so mean......,NHS
81,Santiago Cr but she can move her mouth,NHS
82,Evil? I don’t think so. What a crazy statement to say about her.,NHS
83,All lives should matter.nBut Black Lives Don't seem to Matter.nThat's why there's a Black Lives Matter Movement. nUnderstanding?,NHS
84,@Alex because that's therapy u must know the truth u had,NHS
85,A A house n,NHS
86,I'm glad Madonna knows there is a market for ORIGINALITY & BRILLIANCE beyond American borders!  Globally. They consider her a legend who once again shakes it up and reinvents herself. Beautiful girl,NHS
87,These kids are amazing,NHS
88,I couldn’t tell if it was a boy or girl,NHS
89,All Humans matter. Whats with labeling color!!! Dogs matter. Cats matter. Bees matter. Trees matter. Americans matter.,HS
90,@fivedrock clearly you have no idea who is on the side of status quo.,NHS
91,The return of the Zulus.,NHS
92,Now let's mention the Black names that fell Victims in the hands of protesters.  The Black Owners protecting their businesses. Who's gonna protest for them? BLM only care when a white cop is involved but turn the blind eye when they are the ones responsible. FACTS!,NHS
93,Yes all lives  matter. Its simple to  understand.  its not only that if the political parties have a common interest in their own country,NHS
94,@Generic Human shut eup,NHS
95,BTS KIM NAMJOON China is trying to pass a national anthem bill which criminalises people who makes fun of it. It also mandates that the Chinese anthem is taught in school. This stifles their freedoms.,NHS
96,Talk about white privillege while black people get love from everybody while white people get booed,NHS
97,I don’t even get why whites even support BLM they ain’t even black,NHS
98,The things that she has done are magnificent.She has personally flewn to Mexico to buy her friend some medicine for AIDS.This is not your everyday type of woman.Shes so intelligent too.I don’t think she’s appreciated enough.,HS
99,That one little girl is woke!,NHS
100,THE MAJORITY OF RACISTS IN THIS COUNTRY ARE BLACK!  EMPOWER BY RACIAL LEFT DEMOCRATS.,NHS
101,FBLM! TAG THE BATHROOM WALLS AROUND THE WORLD!,NHS
102,Only one race the Human Race,HS
103,There is no such thing as god,NHS
104,But many news media outlets would paint you as the villain.,NHS
105,I don't see what the big fuss is.  Just add the modifier also to your slogan.  Black Lives Also Matter.  If that's not your intent,NHS
106,Could've got some good scrap metal money out of that,NHS
107,ALL LIVES MATTER and to say they don’t is REAL RACISM.,NHS
108,Exactly. They're not fighting for equality,NHS
109,Juan Williams should be ejected into space..,NHS
110,when i read peaceful i spat my coffee out lol,NHS
111,Sheriff David Clarke is the embodiment of what I consider to be a true man. He has my respect.,NHS
112,That's wat they want,NHS
113,David Clark is the absolute worst. Thank you for leaving Milwaukee,NHS
114,Three against one.  Ya that's fair and balanced......LOL  Hannity I can't take seriously his show is better than SNL.  It's a clown show.,NHS
115,If they had blacks who can speak Chinese.,NHS
116,ALL lives matter. Period. Nuff said. Peace,NHS
117,@Srbin Srbin 🤣 Why don't you stick to European Afairs and don't worry about what I like and dislike 🤔. Last time I checked in was Caucasians from Europe that brought many people from Africa.  We did not ask to come here. Why don't you go to Mexico.,NHS
118,Ugh God how I hate that one girl cause of everything she said... „I don't agree with homosexuality” what's going on with her mind,NHS
119,Right shes trying to hide it,NHS
120,My mom teaches high school physics,HS
121,@Breanna Himmelright but madonna wants to be young. She reminds me of Meryl Streep in the movie death becomes her,NHS
122,The bible doesn't condemn all judging John 7,NHS
123,People need to blame themselves for their own selfish bad behaviour.,HS
124,This comment should have more likes,NHS
125,But trump has helped black people so much,NHS
126,Only Juan doesn't make sense here. The reason is that he and most leftists are ideologically possessed. It doesn't matter how illogical or awkward their position might be,NHS
127,@Provocateur no he can't,NHS
128,@EseKanayo2 threatend by who exactly?the black community suffers from mostly black on black crimes yet there's no riots about that.,NHS
129,a woman who dresses with man clothes and don't agree with homosexuality. ok thats coherent lol,NHS
130,@Riley DavisnMy book? I have several. What do you mean?,NHS
131,Eris Bell Being tall wasn’t a choice,NHS
132,Bernie fan here.  God I'm so disappointed in his response.  I swear I fuck in hate the black lives matter movement.,NHS
133,Why does she sound so tired and frail and weak nowwadays?? I know she's older and is likely tired with raising all those kids,NHS
134,@Toxic Sheeple yes you are,NHS
135,Perhaps the star of david or merkabah,NHS
136,He s just a hero ...that s inspirational,NHS
137,the person in the burgundy doesn't agree with homosexuality but looks the gayest lmao. not to be rude,NHS
138,any group that reinforces who you must be; who one is deserves such devotion.  Madonna is really a wonderful woman to some people,HS
139,He's the man,NHS
140,shameful behaviour. the police should have acted...oh wait...,NHS
141,Sheriff and Larry/  Black on the outside white on the inside .  Sheriff and  Larry . Bending over for Trump .,NHS
142,I can see the reasoning for why it might be inconsiderate to say ‘All lives matter’ with what’s happened and everything surrounding that,NHS
143,U guys are yelling that Annie is probably a lesbian...nnnnnnnnI swear for a sec it thought she was a boy🤣🤣🤣,NHS
144,@Skyfule Mess weLL aLwAyS sAvE tHe DaY,NHS
145,This made me cry. So many things in contemporary Christian culture are such a horrid distortion of what Christianity is meant to be. What that boy said about choosing to love? That’s what Christianity is about,HS
146,It's gone full circle like an Ouroboros for these SJWs.,NHS
147,That SHERIFF for President !!!!!,NHS
148,I just wasted 7 min watching people discuss which lives matter and how to say it. It’s just a distraction from the reality that anti black racism is not common place in America. Why should I take anyone who can’t see past that seriously,NHS
149,He’ll yes. Whoop Whoop,NHS
150,Should have broken and destroyed the statue before throwing it down the river,NHS
151,So pulling a statue out is going to re-write the past is it? Mindless fools. It would be different if there still was slavery in Bristol. But the present has moved on from the past and these moronic individuals need to also.,NHS
152,Democrats horring for votes!!!! That is the truth right in your face!!!!!,NHS
153,I have never understood homophobes like it’s just hatred not justified by an old book that you worship and interpret literally it’s gross,NHS
154,Capitalism is the idea of creating a product that solves a problem. You cannot solve that problem if you do not create a decipherable marketable label for the consumer who has that problem. It totally sees colour and race,NHS
155,have you ever met anyone who was LGBTnme,NHS
156,Do black lives in the womb matter?,NHS
157,This simple three man panel could get together with Donald Trump and completely solve this age-old problem at hand. (They all have experiences,NHS
158,Nothing else matters~Metallica,NHS
159,Senator Sanders is for socialism? Let's suspend his US citizenship,NHS
160,Taking a knee is pretty appropriate coming from democrats and SJW's...nPandering and placating without questioning the motives and agenda from BLM is dangerous.nThere is nothing more dangerous than sincere ignorance and conscientious stupidityn- Martin Luther King Jr.,NHS
161,Jason So who do you think the Democrats are?,NHS
162,@Al C When women were fighting for their rights there were men screaming,NHS
163,It’s Like Martin Luther King Junior fight for his poeple and even he died becuse they didint want him...and know..this world is changing...And We Pray For all Poeple and black Poeple And White Poeple to be more nicer,NHS
164,I am so glad that Clark is no longer in power of anything.,NHS
165,All Lives do matter and we can do a much better job of displaying this and encouraging one another to know our worth. nLet us continue to fight to end human trafficking and support every survivor. nTo support my fundraising efforts with the Araminta Race Against Traffick,NHS
166,because they recieve trauma that leads to mental illness and has a high suicide rate,NHS
167,Did Mahomet own slaves. If so the reading of Koran should be forbidden.nWhat about Krishna and Rama? They were rulers when slavery was rampant.,NHS
168,I hope Satan comes to earth to kill everyone,NHS
169,So all lives don’t matter? Just black lives. Yea that makes a lot of sense,NHS
170,They want to Make africa out of america,NHS
171,BBC Censored if you support BLM you’re just supporting democracies all lives matter,NHS
172,Say Cheese Do not make hasty conclusions! You do not know me well in order to make such statements! They protect their rights how?,NHS
173,You are still young maybe you can try,HS
174,your local hufflepuff imagine thinking someone’s sexual orientation based on what they wear,NHS
175,Max O'Brian I can’t seem to find where anyone asked for your opinion?,NHS
176,They stood by and watched and their mayor is pleased with them.,NHS
177,Awesome! Not only that you've created (engineered,HS
178,i've never heard a more perfect answer to the question than that sheriff's.. well said sir and thank you for your service!,NHS
179,People are gettin mad because a statue of a slave trader was taken down #realracist,NHS
180,kay b thatvright white lives matter cops matter,NHS
181,Thank you someone had to say it,NHS
182,@Maggie Paul I don't think you actually read my statement. I didn't say you should now change the slogan from blm to alm. it's mildly annoying to say the least,NHS
183,I never understood racism. I grew up thinking what’s the problem with with different colored humans they’re literally the same but different colors.nTo this day I still don’t know why people think 1 race of humans is better than another race when they’re exactly species,HS
184,White lives don't matter? Than black lives don't matter either. Understand? You either are racist or you're not. Own it.,NHS
185,the bible is a book written by men,NHS
186,We all bleed the same...,HS
187,She is wearing the monogram of Catherine the Great ( E with II through it with a crown above),NHS
188,Im gonna tell you this most are,NHS
189,Bruh these LGBT people gotta chill with this little girl,NHS
190,Injustice anywhere is a threat to justice everywherenBLM when people mention chineese slavesn.................,NHS
191,“That would be just pure mean” aw love this kiddo she made my day <3,NHS
192,David Clarke needs to get into politics. This is turning into the Brexit debate. If you disagree with me you do not understand sophisticated politics,NHS
193,His barber is Tay Keith,NHS
194,@Flora Fauna Leftists have already removed history teaching from schools and replaced it with their agenda-driven pathology.  Im a 10th grader who see's it first hand,NHS
195,Do you know how many times in history these descriptions have happened?  Do you think this is worse than the holocaust?  The Bible gives guidance that we won't know the day and hour but the end will come like a thief in the night.  Don't quote scripture to predict when you think the world will end.  Just ask Hal Lindsey.   People have been predicting the end with scripture for the last 2000 years.,NHS
196,skinny dicc  booing at “all lives matter” and “white lives matter” but saying y’all want equality doesn’t make sense,NHS
197,“I don’t agree with home-sexual-ality”,NHS
198,@Marco Arreola Exactly.,NHS
199,@xBrownskinAngelx does she need to repeat it? What didn't you understand?,NHS
200,KG2018 Dave Chappell story of fame,NHS
201,Good luck! InshAllah it'll be a very rewarding journey!,NHS
202,I agree that there are some bad cops yes I'll admit it. But most are good. I agree George shouldn't have been killed but it seems the cop just over estimated his strength.,HS
203,Her physical exterior appears that way to my judgement. I know that alone is not sufficient.,NHS
204,Why are these people even here?,NHS
205,thanks Debbie for  being an inspiration,NHS
206,so censored so if you even hint of ppl from the middle east that owns this channel u get censored!,NHS
207,How bout we stop saying black lives matter or all lives matter let's just all agree LIVES MATTER idc if you a frog a human a purple dude in banana costume,NHS
208,@Mark Slima did ya know these 'involuntary slaves',NHS
209,What do the amarican people mis in their heads that when an important problem like black lives matter is spoken about they change it into all lives matter and than they do not realise how big of an insult that is for the black people and their problems of the last 300 years. For the next 300 years it are the black people who have the saying in the world thats just fair. And I am a white male.,NHS
210,Love the police man too good too honest,NHS
211,Are you black? No. Do you know how we feel no. Get a grip brainless ashly,NHS
212,Some One me to,NHS
213,Blm we never said only blm y’all twisted af,NHS
214,@mtgamerguy - it is a choice just admit it... I hope you've realized how dumb what you just said really is,NHS
215,She is forever doing what keeps her in the public eye.,NHS
216,@joseph matthew Jesus is real .I know Him .He brought me back from deaf,NHS
217,how are you now,NHS
218,owen eiffel did you watch the video??,NHS
219,David McDonial thats a shame. They way you react tells me other wise. But ur not the only person in the world who lies to themselfs. Its common. I forgive you,NHS
220,@Planet 9 nEspecially when they are ACTUALLY doing those things,NHS
221,The sheriff spoke the truth.,NHS
222,a kid in the closet playing hide n go seek and then is coming out of it?  How the world should be.,NHS
223,We never said all lives didn't matter. We are saying all lives matter but ours. The country was founded on pure racism and power. So what....we should turn the other check. And don't come with that. What about black on black crime bs. Because I have never taken the live of a black man. Or any man for that matter. Most whites live their life in a bubble. Completely numb to wants going outside of your own white skin.,NHS
224,@Jessica Walker what did Jesus say about homosexuality?,NHS
225,Oh just shut up. All lives will matter when Black lives will matter!!,NHS
226,White people aren't dying Bc of police brutality and racial profiling,NHS
227,@HipHop-TV.Blogspot That is their secret I can neither confirm or deny but what I can say is with eternal/long life comes many a heart break & suffering.nnProof,NHS
228,I'm crossing my fingers that they all wake up tomorrow with a bit of a cough.,NHS
229,Saying black lives matter is a Racist,NHS
230,I spent half the video trying to figure out how this man was a conversion therapist in any way and then I read the title again,NHS
231,you have encouraged me thank you for sharing,HS
232,@t0bias busterud as long as this nation remains Godless,NHS
233,@LeslieRené actually I think he/she meant or vs are.,NHS
234,My gaydar went off as soon as she came on screen,NHS
235,THATS MY WORD RABBLE ROUSER,NHS
236,I wish that all of them know that there name is said every single day! nn#JusticeForGeorgeFloyd,NHS
237,AGREE WHAT PEOPLE FEEL.  YOU NEED HUSBAND AND WIFE IN LOVE TO RAISE A CHILD OR CHILDREN,NHS
238,@blusafe1 many are agrresive.,NHS
239,“that would be just pure mean”,NHS
240,Because it washing a good thing,NHS
241,and now you have AIDS?,NHS
242,@Morgan Taylor When did I ever reply to someone not doing that?,NHS
243,can I have an african race based scholarship then if african americans have been so repressed??? If they cant say all lives matter they are planning genocide again,NHS
244,Aren't we all human? Why do you divide people into races? Eugenics?,NHS
245,Asian American has the highest median household income so no,NHS
246,america is slowly turning in to idiocracy lol,NHS
247,my first thought was 'annie is a weird name for a boy' because i seriously thought that was a boy,NHS
248,marquez shoulders this is the weakest point I have ever seen. Also you just presented what kind of level and person you are.,NHS
249,Actually there have been very few cases of it working...,NHS
250,We should not have statues of racists in our country,NHS
251,@Jay Tops check out Owen Benjamin. The earth can be discussed bitnot homosexuality or abortion. Didn't Jesus walk through a wall,NHS
252,Now it is time to focus on,NHS
253,ALL LIVES MATTER...IM FROM THE SEYCHELLES WE HAVE DIFFERENT TYPE OF PEOPLE,HS
254,Dems dont listen or arent smart enough to undrtstand truth.,NHS
255,Can u make a machine that cooks delicious food so u don't have to,NHS
256,DefEnd the Police they defEnd all lives!!!!!!!!,NHS
257,Love Sheriff Clark!,NHS
258,@Rick Gross you realize that simply not liking someone for their personality vs not liking someone for something like race,NHS
259,LilaThe Real that’s underrated,NHS
260,The thing is we’re not gonna get anywhere saying BLACK lives matter,NHS
261,A great german singer wrote a Song about that  check it out on YouTube  Black lives Matter  Amadeus,NHS
262,Unfortunately life dont matter anymore,NHS
263,Please read through my comments. I have said numerous times that we aren't under the laws of Moses,NHS
264,Jessica Walker SO THEN GOD IS SHALLOW!!! I mean I don’t wanna offend you or anything but just because god said it doesn’t mean it’s okay,NHS
265,Sam Garcia go look up what's going on in Uber and then come back to me,NHS
266,Sapphic Keira sAME,NHS
267,cops here in Canada don't attack balck people but in the past they attack gays,NHS
268,Guy Ritchie said she was a drama queen!  Go figure! haha,NHS
269,It’s not about the hair lol.,NHS
270,Mia Lea Kahn Oh so you want every human being to support you guys. Wow no wonder y’all banned.,NHS
271,Did the short-haired lesbian just say “i don’t agree with like homosexuality”?  Im shook,NHS
272,Some One SCREAMING,NHS
273,And our future rests on these kids? Lid has mercy.,NHS
274,Pray for what?,NHS
275,@BenjoBanjoo Is that so ? England aided in the biafra war in the 1960s and helped in the genocide of the igbo people to protect their oil investments in nigeria. What about that? Stay out of Africa,NHS
276,ALL lives mattering was NEVER A QUESTION......that is why it is annoying. Black communities feel that their lives don't matter that is why it was created. so responding with black lives with all lives matter is implying that you don't stand with the black community.,NHS
277,I agree that it is probably harder for them but,NHS
278,Eternal life’s matter.,NHS
279,Ps there is a better rubttle apon response of the final 20s,NHS
280,I cant believe what i am seeing the police running away and getting beaten with sticks and bottles what a joke this is embarrassing and this has done no good for black people it has damaged there reputation this had made them look violent and aggressive and now even more people will be racist towards them and also will dislike them as they have also caused a 2nd wave of coronavirus which businesses and loved ones cant meet up now till 2021 all because of the protests,NHS
281,@Hi Qwerty it IS true.nEvil main stream media will be judged by God and so will the Hatred of BLM and antifa.,NHS
282,+akinadownhillace salary of nurses- $65,NHS
283,@jzizzles dont worry I'm Christian and I'm both trans and bisexual so yeah that's a thing like God said men shall not lay with man but that was mistranslated its actually man shall not lay with boy meaning pedophilia so homosexuality is not in the bible and religion shouldn't stop people from loving who they love yk,HS
284,@Ernest Bennett and white women,NHS
285,Anyone that votes Democrat.....That person is a person that wants genocide of the black American people!,NHS
286,When the debate is lost slander becomes the tool of the losers. Just know you exposed this for the world to see. I'm out.,NHS
287,This was so inspiring to me.Nowadays many people doubt about women becoming engineers.But I’m sure next generation is going to make a change.I’m from Argentina and next year I’ll finish high school and I will study environmental engineering.,HS
288,Also; your research sources are invalid,NHS
289,If I ever have daughters I will buy them your toys,NHS
290,He's got his uniform squared away,NHS
291,You are sheep,NHS
292,annie seemed like she was bi/lesbian/pan to me for some reason.,NHS
293,She’s probably closeted and her saying she goes to church is a big giveaway her parents probably watch  and she didn’t want to say it,NHS
294,Omg I love the sheriff and elder... Juan used to be good but he's become an a**,NHS
295,The council did not fail to at the council loves slave traders,NHS
296,Around the World - Shows Amsterdam,NHS
297,@Shayne Berg No that wouldn't work,NHS
298,Yes let us not have statues of well-known racists like Hitler on the streets,NHS
299,Faizal Alladina To ne honest i know one of her session musicians  in the states and he said she would regularly turn up with surgery tape etc etc at rehearsals actually have botox specialist visit the recording studio their you have it,NHS
300,@M the bible is badly translated now it is,NHS
301,B.L.M is Black Supremacy Movement and officialy awesome.,NHS
302,Really?  Shes the most famous female Artist and biggest selling in music history.  She's sincere and sweet and genuine here.  Stay bitter,NHS
303,Sigh... So you are the problem then?,NHS
304,Agartha lartey what?,NHS
305,@Iroor tell me why you don't hear people chanting All lives matter when it comes to blue lives matter? I'll tell you why,NHS
306,My mom's side of the family is strongly inclined towards numbers. I got the bug for it too but I turned to humanities out of pettiness. I feel like going back to school though,NHS
307,We were all made in God’s image. All lives matter!!!,HS
308,kennedy mensah ALM is anti-BLM because BLM is a hate movement lead by self admitted marxist activists.,NHS
309,Who is she,NHS
310,@Jay Tops Nobel peace prize nBut once again don't take God's love and return hate or Madonna because you'll end up pushing and living the dnc the party of death line. Where they herd the masses and make them unstable sinners to exploit nYouTube channel franciscanfriars nnTrump is not liked but it's a sin to vote dnc and cardinals had millions pray the rosary for Hilliary s defeat. nnMadonna recently looked different. Swearing and acting like a revolutionary. How is her family and husband ? Anyone know. Jesus Christ or Madonna. Choose. Can't have both sodomites,NHS
311,She so brave!! Their are those who judge the less fortunate,NHS
312,I will tell my children stories about this year,NHS
313,Someone didn't watch the video,NHS
314,How well they took this,NHS
315,“Injustice anywhere is a threat to justice everywhere.” ~Martin Luther King Jr.,HS
316,@Jack Parsons  is that your nickname??,NHS
317,@wow i am lost  WE DIDN'T CHOOSE TO BE BLACK.........WE JUST GOT LUCKY!!!,NHS
318,I don't agree with homosexual....ality... lol the fuq u trying to say,NHS
319,Lol poor girl is getting judged on her looks left and right,NHS
320,@Aquariuz may I ask why?,NHS
321,What did the important comments say?,NHS
322,J T your nuts! What planet do you live on?? Clearly you are clueless about her.,NHS
323,For once Juan wasn't the worst.,NHS
324,I want to be a engineer that has to do with tech that's my dream job I'm only 14 that's the job I'm hoping to work hard for still got couple years until I go to college but yeah any suggestions,NHS
325,This is ridiculous.  No one can have an open and free debate and discussion.   To say all lives matter is perfectly reasonable yet is met with derision.   All white politicians are in fear and terror.,NHS
326,A G look it up. The cops lost their job. He died EXACTLY how George Floyd did. down to the tee,NHS
327,Nobody said white lies didn't matter but black ppl are being killed by the police not white,NHS
328,I just hear insecurities being voiced. Not a single legit complain in this video. Men deal with the same stuff,NHS
329,@Amazing Worenwu all lives means we are all equal,HS
330,+Ancient Soul oh Lord. I don't think you'll ever understand. There's a specific context in which the black lives matter movement arose. Because black people were being killed and there were multiple incidents of the same type of thing. What exactly is the context for the all lives matter movement and focusing on the whole world? It was only created as a combatant otherwise it wouldn't even exist. No one is blaming white people. We're saying stop killing black people unjustly. That's it. Obviously there are other problems going. Probably more important ones too. But are people not allowed to stand up for themselves without being attacked? Would you not like to be able to stand up for yourself without being opposed? That's all this is about but sadly I don't think you'll be able to understand no matter which way I put it,HS
331,Not be black popper is not in UK,NHS
332,@Grip Can't argue with that.,NHS
333,Anarchy in the U.K.,NHS
334,It's because if black lives can't matter then all lives don't matter  that's why?,NHS
335,A change for what? Bombing yugoslavia and signing doma lol,NHS
336,because it took 30 seconds to find out that this is another pointless feminist aggression video without real content,NHS
337,@Paul Topp and all orcs should have been removed years ago and the population have now been reminded of that fact!!,NHS
338,Yo I’m 13 and I am confusion what I am...,NHS
339,Hong Kong protest are not corporate sponsored so the NPC's dont care.,NHS
340,@hello kitty you fail to recognize that alm is related to politics. It's politicised,NHS
341,He didn't set anyone back,NHS
342,2020 vision oh honey... no no no it has EVERYTHING to do with it,NHS
343,Cute butch girl in maroon - Your body language is telling a story.,NHS
344,People have said statues of George should come down.,NHS
345,@Ethan Shea no he was no killed because of his complexion. you are wrong here my dear. He did a crime and was caught. yes he was been handled incorrectly but it has nothing to do with his complexion. please correct your understanding. He was a criminal,NHS
346,Chaos chaos it’s great for ratings right news media what a disaster,NHS
347,I can’t believe this is something we have to ask ourselves in the first place,NHS
348,Babies in the womb don’t matter.  Just like God don’t matter when they took God out of everything.,NHS
349,AlmostHumanJessi makes sense I wasn’t that smart when I posted that,NHS
350,Not allowing people send their own message unless they 'agree' with you? Nope,NHS
351,It’s all just absolute rioting heavy-handed craziness. This man also in the majority of his time gave a lot of money to the city including building schools and hospitals for Bristol. Tearing down the statue is not going to change the fact that city is better that he was there than not at all.,NHS
352,Jasper Nova nCongratulations 🤠,NHS
353,Show dareal stuff funk dat!!,NHS
354,@Ras Reality Macky,NHS
355,Currently in my 5th year,NHS
356,@Mario Kratt kinda isn't is it Mario  🤦‍,NHS
357,Actually if you look at pics of her from early 2000s and now,NHS
358,Why? I men’t that love is love and if you don’t believe that then go away we don’t take hate here,NHS
359,Let's hope they all die.,NHS
360,Whatever one might say about Madonna these days,NHS
361,Why is it that the hundreds of thousands of black infants whose lives were terminated thru abortion weren't important?... Why?    Again,NHS
362,you fucking comunist comevsay it in my face,NHS
363,Why are we still talking about race issues?  It’s supposed to be white lives matter.,NHS
364,The Home Secretary is a stupid coolie,NHS
365,B a n e wait really?,NHS
366,LOL demonstrates how disgraceful the UK Govt is. Looking real good defending a slave trader.,NHS
367,Romeo Alfa Yep...but he had major connections to Bristol...and he is infinitely worthier,NHS
368,Sponsed by George Soros is Behind all This,NHS
369,@Literal Scumbag lifestyle - the way in which a person or group lives,NHS
370,The H A I R,NHS
371,I'm waiting for the other minority groups to demand their day of extra equality. Hispanics,NHS
372,@Ronald McFondle False. Madonna isn't a superstar or any kind of star for that matter and above no one. Madonna is a human. An elderly human at that,NHS
373,BJGvideos right? like she’s probably the oldest in the video and everyone else except her were so accepting.....when someone’s ignorant they’re ignorant and that’s that.,NHS
374,Thank you! And I think its only in AMERICA!,NHS
375,Plantation politics - excellent term. Rightly so. Leftist pandering for votes that won't come.Trump 2020,NHS
